issuekey,title,description,component,f4-audit,f4-auth,f4-camel,f4-core,f4-import-export,f4-java-client,f4-jmeter,f4-ldp,f4-message-consumer,f4-oaiprovider,f4-ontology,f4-transform,f4-vagrant,f4-webapp-plus,legacy - FeSL,legacy - Fedora,legacy - GSearch,legacy - OAIProvider,legacy - OSGi,legacy - Trippi,legacy - community extensions,legacy - java-client
FCREPO-430,Filter FieldSearch Results based on policy,"Tim suggestion to not expose hits for things that people  are not allowed to access.  FieldSearch is current always open since it is the administrative  search for the repository (you can always find what's in  there.)  Implementing this would mean building policy examination into the FieldSearch result processing code (per object, does the subject have access?)",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-427,Add new ingest and export formats,Consider: - METS 1.3 - DIDL - SCORM,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-14,DirIngest Client for Content Submission (directory),Create a means of uploading a whole directory of files  into the repository. How deal with Dublin Core records? Date: 2005-11-03 16:11 Sender: payette Logged In: YES  user_id=128 We have a nice client created by Cornell PhD student that works with the DirIngest service.  Need to test and document before releasing. Date: 2005-03-24 11:47 Sender: payette Logged In: YES  user_id=128 We have a service in DirIngest and we need a simple client  for user. Date: 2004-10-27 16:40 Sender: payette Logged In: YES  user_id=128 tie this in with web-based content submission interface,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-440,CModel-based Object Builder/Submission Utility,"Create the equivalent of a multi-step submission process  to get objects into the repository. Do this in as general  a manner, so that it is not fused into the base server  software. Maybe this can be a plug-in service to  Fedora? Date: 2005-03-24 11:48 Sender: payette Logged In: YES  user_id=128 Fedora-IR deals with this requirement",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-16,SDeps with SOAP Bindings,"Build in functionality that lets a SDep object contain WSDL that binds to a SOAP service. Currently, these can only contain WSDL with REST bindings.  Things to look at: - Web Services Invocation Framework  - modify Dissemination Service to recognise and invoke",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-17,Initial REST API Implementation,Create a totally REST-based binding for the Fedora  Management API. Date: 2005-03-24 13:32 Sender: payette Logged In: YES  user_id=128 Selective methods will be implemented - ingest/export. Continue disscussion on need for full-blown API-M-Lite.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-425,Fedora WSDL Extensions to support BMech objects,We have LOCAL and multi-server bindings that are not  conventional in WSDL.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-19,Enable SDep Binding to a SET of Datastreams,"This is the example where we want a method to take a  set of datastreams as input. We want there to be a  single datastreams binding key for the set such  as ""PHOTOS"" and then a list of image/gifs can be  associated with this key. Right now we can associate a  single datastream ID with a binding key. Date: 2005-03-24 13:56 Sender: payette Logged In: YES  user_id=128 We need to rationalize this in terms of the new  structoid/contentModel stuff.  Either accomodate it there  or get rid of it as a requirement.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-20,Format Validation Service,Integrate or develop a service that validates datastreams based on their asserted formats. This could be used as part of a larger validation framework for Fedora objects.  Consider the use of JHove and/or GDFR for this purpose.  Consider also having such service be usable by DSpace (perhaps jointly developed?) as they have a similar need.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-424,Workflow Engine Integration,"Look at existing standards around workflow (see Sandy's  bibliography). Also look at Eden Workflow engine.  Specify somthing that is generalizable and configurable,  so that we do not hard wire any one workflow into  Fedora. Date: 2005-03-24 14:52 Sender: payette Logged In: YES  user_id=128 Can we integrate an existing workflow engine into the  Fedora Service Framework.  This is beyond the simple  submit/review/edit workflow tracking (that we will  implement as a simple workflow service to support Fedora- IR. Date: 2005-02-02 11:29 Sender: payette Logged In: YES  user_id=128 This may be done in cooperation with Fedora Development  Consortium members. - Do we need a Fedora Workflow API? - Will this be done as a service layer on top of Fedora?",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-434,Shibboleth Plugin for AuthN and AuthZ,"Authentication -- We will Shib-enable Fedora, enabling a  user to provide credentials managed by their origin  institution, and providing a single sign-in solution for  Fedora. We will obtain attributes about users  (Eduperson), and we will use those attributed in  authorization. Authorization -- we will support XML-encoded policies  (XACML). Fedora will constrain what can be expressed  in the policies to things Fedora is prepared to enforce.  Policies can refer to user attributes, and attributes of  Fedora digital objects. We will build the Fedora  authorization module to interpret and enforce policies. Date: 2004-05-11 14:48 Sender: payette Logged In: YES  user_id=128 Security Questionaire: http://www.fedora.info/wiki/bin/view/Fedora/SecurityQuestion nairre Date: 2004-05-11 14:43 Sender: payette Logged In: YES  user_id=128 General Requirements Wiki: http://www.fedora.info/wiki/bin/view/Fedora/AuthenticationRe quirements Scenarios Wiki: http://www.fedora.info/wiki/bin/view/Fedora/AuthNAuthZScen arios  Wiki page:  http://www.fedora.info/wiki/bin/view/Fedora/BasicAuthNAuthZ Specification",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-431,Policy Builder Client,"Some utility is needed to let people specify the  attributes of the kinds of objects a certain policy should  be inserted into. Then a mass setPolicy is run. Not  sure if this is built into the setPolicy operation, or a  separate utility. Date: 2005-11-03 16:03 Sender: payette Logged In: YES  user_id=128 This is under development and currently working on way to facilitate creation of object-specific policies, and policies about specific datastreams or disseminations.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-24,Use Apache connection pooling library,Use Apache db connection pooling library instead of our own custom connection pooling stuff. ,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-25,Option to store Audit Trail outside the object,"The Audit trail datastream is currently inline XML. When an object has lots of changes a large audit trail will be inlined within the object, bloating the XML file for the object. We want to be able to store the audit trail as managed content or simply in a repository log file. We should consider whether we should allow the choice to be a repository-wide configuration option, and/or an object-specific option.  Also, consider what the default choice should be.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-26,Support for externally-authenticated users,This is to deal with the case where authentication occurs outside Fedora by some upper layer application or service. Requests to Fedora are made by the app/service with a proxy user identity (like fedoraAdmin) and the user being represented is provided (in header?). We need to have a Tomcat Login Module to get attributes for the user represented by the proxy. This allows attributes to be available for policy enforcement.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-27,Address space exhaustion when running Kowari on 32-bit OS,Discovered by Chris in NSDL load after fix of Kowari leak.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-28,Fine-grained control of the subset of RI triples to index,"Also known as the ""Chinese Menu"" feature, this would allow people to select which subset of the currently-indexed triples they want indexed in the triplestore.  For very large repositories, this can help people cope with triplestore scaling issues.  Examples:  For Derived triples:   - index dc?   - index datastreams?   - index object attributes?  For RELS-EXT triples:   - index all RELS-EXT triples?   - index triples only with a specific list of predicates?   - index triples with a specific predicate URI prefix only?",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-29,Allow use of RELS-EXT/INT assertions for policy enforcement,"If object properties can be extended with RELS-EXT (both relationship properties and descriptive properties), then it would be good to allow XACML policies to be written that refer to these properties in the Resource target specification of the policy.  This can be done by modifying the DOReader to include RELS-EXT properties along with core properties. The XACML attribute finder code uses DOReader to get object attributes, so it can take whatever it gets from DOReader.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-30,CMA Proof of Concept,"Based on agreed upon design, refactor core Fedora repository code to make the use of disseminators more dynamic and easy to manage. See initial design proposal:  http://www.cs.cornell.edu/payette/fedora/designs/cmda/",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-426,Support for managed external datastreams,"This is increasingly an issue that we must deal with. Fedora users trying to do this with large images, texts, and datasets. For very large datasets, the constraining factor is doing this over HTTP.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-32,Initial support for OwnerId,- implement OwnerID in FOXML and METS - modify serializers and deserializers to accomodate - add to vocabulary.txt (along with other missing attrs) - verify/modify support in XACML attr finder code,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-33,SRB Implementation of LLStore,"This is something to think about in terms of storage  expansion. SRB provides virtualization of distributed  hierarchical storage. Can we interface SRB with  Fedora? Apparently, DSpace is pursuing this. Date: 2005-11-16 10:03 Sender: payette Logged In: YES  user_id=128 Also, rework temp store so its not embedded in LLStore.  This may have been handled already by Chris and maybe we just have to remove the configuration of temp store from fcfg and make sure it is not created.   This came out of discussions with the SRB folks who are creating an alternate SRB-based implementation of IFileSystem. As things standnow, IFileSystem implementations are used by FileSystemLowlevelStorage which sets up storage locations for objects, datastreams, and temp files. When a NFS file system or the SRB is used, then we are in the inefficient situation where temp files are passed over a network connection. We really want a local temp store area for the Fedora server. Date: 2005-11-16 09:59 Sender: payette Logged In: YES  user_id=128 Also, set up a server module pattern for FileSystemLowlevelStorage. Date: 2005-11-11 14:23 Sender: payette Logged In: YES  user_id=128 other areas of fedora functions need to iterate through  file system (e.g., ingest when prioritizing order of  bdef/bmech/object).  Figure out how to handle with SRB. Date: 2005-11-11 14:21 Sender: payette Logged In: YES  user_id=128 make sure we come up with a way for Fedora rebuilder to  work with SRB.  Somehow, the SRB would have to be able to  provide list of files (with path locations) Date: 2005-11-03 16:08 Sender: payette Logged In: YES  user_id=128 We have received code from Reagan Moore's group and we need to work out issues, figure out how to configure to SRB, test, and integrate with core Fedora release.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-34,Initial GSearch Implementation,"Develop a reference implementation of a richer search  and index service (that what is provided by default as  part of the repository itself). This service will harvest  selected content from objects in the repository. It will  query or subscribe to the Fedroa Delta Notification  Module to receive indications of what content has  changed and should be updated. Date: 2005-03-24 11:43 Sender: payette Logged In: YES  user_id=128 Lucene, Zebra?  Full-text indexing capability is desired. Integrated in Framework via RI (for incremental updating). Date: 2004-10-27 16:41 Sender: payette Logged In: YES  user_id=128 - index arbitrary datastream - follow the query/callback scheme - srw/sru overlay",legacy - GSearch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FCREPO-35,Performance Test for 1M objects,"We will do a controlled test of Fedora on an average  hardware setup to test performance at different  benchmark levels (200k, 500k, and 1 million objects). We will focus tests in these areas: 1. Ingest 2. Dissemination 3. Default Repository Search (Resource Index) We plan to publish our performance results on the  Fedora web site to provide benchmark data. If bottlenecks or delays are found we will tune the  repository sofware via several techniques: 1. Code modifications 2. RDBMS indexing 3. Caching strategies 4. Repository clustering and load balance Date: 2005-02-02 11:04 Sender: payette Logged In: YES  user_id=128 we want to do this after the new authN/authZ modules are  implemented to measure performance with this overhead  included.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-36,Fedora deployable as webapp (.war),- for Tomcat due to authN and authZ implementation  which is in terms of its connections to Tomcat.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-37,Refactor JUnit Tests for new .war distribution,"We need a better way than what we have now! Date: 2006-01-26 11:17 Sender: eddie Logged In: YES  user_id=372 With the exception of true unit level tests (that work at the class level), hold off on integration tests until we get some progress on Fedora-as-a-webapp (#585) Date: 2005-11-11 14:55 Sender: payette Logged In: YES  user_id=128 We did a good job on the first pass for 2.1b. 1) develop a junit test to measure api method performance  using jmeter.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-38,Index Dissemination Dependencies in RI,This is required to support the new OAI provider.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-39,Ingest/Export Whole Objects,"There are a number of features that are important for supporting ingest and export of objects. These are: 1. Ingest SIP (self-contained) - This would be for a single digital object, that there is the ability for all datastream content to be inlined or attached so that it is not necessary for the repository to call back to obtain the content bytestream. 2. Ingest Archive - This would be a whole set of self-contained SIPS bound together as an archive that can be ingested into the repository in an efficient manner. 3. Export (self-contained) - This would be an export of a single digital object where the content of all managed content datastreams is inlined or attached.  This can enable a dump and load of a repository since this export can file become a self-contained SIP (as in #1) above. This allows you to dump a Fedora repository, shut it down, and still be able to load up a new repository using the export files as SIPS - without having to do callbacks to the original repository to get the managed content datastreams. 4. Export Archive - This would be a whole set of self-contained export files bound together as an archive. Date: 2006-11-15 10:01 Sender: payette Logged In: YES  user_id=128 Ingest/Export (self-contained objects) is complete (#1 and #3). Ingest/Export archive of many objects is a future item. Date: 2005-11-16 11:27 Sender: payette Logged In: YES  user_id=128 Need to look at options for self-contained SIP ingest: 1) base64 inlining 2) SOAP attachments 3) XOP 4) ARC files 5) other Date: 2005-11-16 11:25 Sender: payette Logged In: YES  user_id=128 More comments on the problem:  Now, the object export will create ""public"" callback URLs for datastreams of type M (managed content). This works well for migration (export from one repository and ingest into new repository) as long as the old repository is up and running at the time of the ingest into the new repository. Then the datastream content can be sucked into the new repository via callback URLs (getItem requests on default disseminator). However, if the old repository is not available after an export, or if you just want to dump and re-load the SAME repository we need a way to get the managed content out of the repository as part of the export. In the Fedora spec, we envisioned a variant of the export file with base-64 encoded binary content inlined for the managed content datastreams. Then, the export file is complete in that it has all the datastream content that was in the repository within it. We can either create another export method on API-M such as exportWithContent() or parameterize the existing export method. From the ingest standpoint, we need to implement logic to look for base64-encoded content or the content location URL as two alternatives.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-40,Proai rcAdmin date should be per-format,See bug 129: http://phad.lib.virginia.edu/bugs/show_bug.cgi?id=129,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-41,Proai multi-threaded record retrieval,"Broadly speaking, the cache update process for Proai has two phase: querying for updates and getting the content for each updated record. The latter phase could be made faster if it were multi-threaded. The following suggested solution depends on tracker item 669 (Proai robustness - transactions and error recovery) being done: - Instead of one, have n threads take x items off the queue and perform concurrent HTTP GETs of the content. Things to consider: - The solution doesn't necessitate that each thread perform it's own reads/writes from/to the db. - Use an appropriate level of abstraction here... possibly a string which is a ""locator"" (not necessarily a URL), so non-http OAIDriver impls can adjust.  Redefining the contract between proai and OAIDriver impls is ok, as long as it doesn't presume a particular locator type.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-42,Use xsi:schemaLocation in DC datastream,"Currently the OAI provider implementations ""inject"" this attribute because it's not put into the DC automatically (for historic reasons), but it's required for OAI. It would actually be better/cleaner for Fedora to create the DC datastream with the attribute already populated.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-43,Selective Datastream Versioning,"Fedora has a placeholder in FOXML for the concept of selective datastream versioning. This is in the form of the ""versionable"" attribute on a datastream. Up until Fedora 2.1.1 datastreams are versioned automatically, and every datastream is subject to such versioning. This new feature will allow for versioning on whatever datastreams are marked as ""versionable."" A new API-M method will allow a client to set the versionable attribute on a datastream by datastream basis. The default is that datastreams are versioned. If a datastream was previously set as ""versionable"" and at a later time it is set to not be ""versionable"" the version history will not be purged, it will just stop the versioning from that point on.  This is very beneficial to avoid excessive or superfluous versioning for datastream that it is not necessary or desirable to version. The choice to version or not is made by each repository administrator.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-44,Purge Datastream Versions by Date Range,"Currently, the purge datastream operation allows versions to be purged, but only from a specified date/time backwards in the version stack. There are times that it is desirable to purge just one version, or purge a set of versions within a data range. One important scenario is to be able to purge the most recent version of a datastream to support transactional activities (that may be set up in middleware above Fedora). If an such a middleware transaction is being managed, and middleware is required to roll back a transaction, it is typically necessary to be able to remove the most recent version of a datastream (given that that datastream was part of the transaction).  Many other cases can arise where it in important to be able to remove versions in a date range, for example, during testing processes, where a bunch of ""junk"" datastream versions get inserted in the version stack.  This feature is implemented by some changes to the Fedora API to accomodate the start/end date range in the purge operation.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-45,New Triplestore Option: MPTStore,"A new triplestore to support core relationships management in the core Fedora repository will be developed for the following reasons: - make core repository not dependent on kowari - due to kowari instability issues and high memory requirements, we must ensure that the core repository is not vulnerable to these things - basic relationship management is something we can achieve with a simpler triplestore. - basic relationship management must be contained within the contect of a Fedora API-M transaction.  Right now, the kowari solution entails Fedora writing triples to a buffer that is outside the context of the Fedora API-M transaction, thus it cannot be guaranteed that such triples have successfully been written to the triplestore from the buffer by the time the Fedora API-M transaction is completed.  For these and other reason, a new triplestore is being developed using relational database technology. The design of this triplestore is based on mapped triple tables (thus MTP). It will hold all the same information currently in the Resource Index model.  Initially, it will support SPO queries. This will be an alternative configuration for the Resource Index in the core Fedora. It will still be possible to configure kowari as the triplestore.  At the same time, we are moving forward with designs to have a Resource Index service that can be outside the core Fedora repository. The idea is to have simpler and more tranasction-savvy relationship management at the core of Fedora, then be able to replicate the managed triples from the core to triplestore outside the repository (the Resource Index service) via messaging. The motivation here is to make the external service be where more semantic web activities happen (outside of the core repository). The base information from the repository can be enriched in the service (add information from other ontologies, add other kinds of relationships, whatever.) Then, full blown capabilities such as inferencing, can be done via the service without bogging down the core repository.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-46,Authentication via ServletFilters,- Move away from JAAS Servlet filters in the preferred pattern for plugging in authentication and attribute-getting - Use Bill's model done for PubCookie,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-47,Checksum Storage and Validation for Datastreams,"Based on recommendations from Preservation Services Working Group, implement checksum and checksum validation feature",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-48,Resource Index Refactoring and MPTStore Support,- more efficient updates for RI - bug fix for concurrent updates to RI - MPTStore plug-in option (alternate triplestore),legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-49,Bundled Postgres driver fails to copy during install,None,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-50,Postgres java.lang.NumberFormatException at first startup,None,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCREPO-51,Hash Collision can cause rebuilder to skip some objects,None.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
