issuekey,title,description,component,Altmetrics,Audio Solution Pack,BagIt,Basic Image Solution Pack,Batch,Batch Ingest Module 6.x (Deprecated),Book Batch,Book Solution Pack,Bookmark,Checksum,Checksum Checker,Collection Manager 6.x (Deprecated),Collection Solution Pack,Compound Object Solution Pack,Content Model Viewer 6.x (Deprecated),Disk Image Solution Pack,Documentation,Drupal Servlet Filter,Entities Solution Pack,FITS module,Fedora Microservices,Harvester Module 6.x (Deprecated),IP Embargo,Image Annotation Solution Pack,Importer,Internet Archive Bookreader,Islandora Image Viewer (Deprecated),Islandora Module (Core),JWPlayer,Large Image Solution Pack,MARCXML,Newspaper Batch,Newspaper Solution Pack,OAI Provider,OCR,Object Field (PID Field),Objective Forms,Ontology,OpenSeadragon,PDF Solution Pack,PDF.js,PHP Lib,PREMIS,Paged Content,Pathauto,Populator,Scholar Module,Scholar Module 6.x (Deprecated),Simple Workflow,Solr Facet Pages,Solr Metadata,Solr Search,Solr Views,Sync (Deprecated),Tuque API,Usage Stats,User Interface,Video Solution Pack,Video.js,Virtual machine,Web ARChive Solution Pack,XACML Editor,XACML Policies,XML Form Builder,XML Form Element: FieldPanel,XML Sitemap,citeproc-php
ISLANDORA-11,Update ingest for to prompt for roles/users allowed to view/edit this object.,Update ingest for to prompt for roles/users allowed to view/edit this object.  Once we have a list of users and roles we can add them to the xacml policy template and then add the POLICY stream to the object,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-13,When a user has no roles in drupal the drupal servlet filter breaks,If a user in drupal does not have any roles in the drupal database the servlet filter will deny all access to objects in Fedora.  Maybe we should give them the same rights as an anonymous user.,Drupal Servlet Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-14,When trying to add a datastream and Fedora says access denied we are not showing an error in Drupal,If the drupal user does not have the correct permission in Fedora to add a datastream there is no error message showing up in Drupal.  It seems like the stream was added.  In reality the stream has not been added.  We should give some sort of feedback to the user.,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-17,If the drupal servlet filter is configured to hit more then one database it may lock out users if even one of the databases are not available.,If the drupal servlet filter is configured to hit more then one database it may lock out users if even one of the databases are not available.  Even if the database is not the one your user is a member of.,Drupal Servlet Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-18,Warning displayed when adding a datastream if there are no add datastream rules present in the content model,"There is a foreach call that loops through the add datastream rules defined in the content model.  If there are no rules present PHP will generate a warning message, but the datastream will still be added.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-19,modify/refactor edit_qdc_form and edit_qdc_form_submit to read the content model and call/build the appropriate form,modify/refactor edit_qdc_form  to read the content model and call/build the appropriate form.  Also modify the edit_qdc_form_submit function to read the content model so it can call the appropriate form handler function.,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-20,create a refworks edit metadata form.  ,need a form and form handler to edit the refworks stream.  ,Scholar Module 6.x (Deprecated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-25,Add documentation to the fedora commons wiki page.,None,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-27,In Fedora 3 Our itql query now returns more then one result for objects that have more then one CModel.  We want only one result  for the list,"Our itql query now returns more then one result for objects that have more then one CModel, we get a row for each CModel associated with the object.  Since all Fedora objects now have a hasModel  of  info:fedora/fedroa-system-3.0 plus any others that are defined this is an issue for all objects.  We are basically only checking the CModel to see if it is a collection.  If it is a collection we create a different url then we do for plain objects.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-28,In our sparql results we removed the xml namespace and create xslt to match.  We should put the namespace back and modify the xslts,In our sparql results we removed the xml namespace and create xslt to match.  We should put the namespace back and modify the xslts.   thsi would make the xslt more standard in relation to other sparql transforms,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-29,change links in SmileyStuff-COLLECTION_VIEW so that one will bring up the larger image (by clicking on the thumbnail) and the other goes to the details page.  Also remove <html><head><body> etc. from the xslt,change links in SmileyStuff-COLLECTION_VIEW so that one will bring up the larger image (by clicking on the thumbnail) and the other goes to the details page.  Also remove <html><head><body> etc. from the xslt.  these tags are already part of the page output,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-30,When ingesting an object with a relationship different then the defined relationship of isMemberOfCollection we need to specify this in the content model somehow,When ingesting an object with a relationship different then the defined relationship of isMemberOfCollection we need to specify this in the content model somehow.  For instance if we ingest an object into the demo:SmileyStuff collection now it will get the RELS-EXT of isMemberOfCollection to demo:SmileyStuff.  the QUERY stream in demo:SmileyStuff uses isMemberOf in the query so it will look like the newly ingested object did not go through correctly.  It will be in Fedora but the query will not find it.,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-31,Item views should include a link back to the object's collections.,"Currently the item view does not show what collections an item belongs to, and the user must hit 'back' to get back to the collection.  If the user just went directly to an item they now need to look at the rels-ext to view an object's collections.  There should be a list, possibly in breadcrumb form, of each collection that the object is a member of.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-32,error message on add datastream,"error message generated when adding datastream (latest fedora3 branch as of this date) REVISON 244  error generated is ""Error getting Datastream for fedora-system:FedoraObject-3.0 and ISLANDORACM""  opening Detailed List of Contents and hitting ""ok"" clears the error  Datastream upload seems unaffected by the generated error  minor bug",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-33,Make first ingest object form page optionally skippable.,"Since the 'Audience' field should be removed, and the file chooser dialogue is not necessary for certain implementations, like MNPL and potentially refworks single record, there should be a way to bypass the first ingest screen  If the content model is pre-selected, perhaps from a drop-down menu on the collection page, or sidebar menu item to ingest only one type of object, then islandora should go straight to the second ingest form page.   This can be done by removing the label parameter to the ingest function and replacing it with an optional content model parameter.  If the content model is incorrect just display the first page as normal. If it is correct, and there is no need for a file chooser (specified as a flag in the content model) then skip the first page and increment  the form step variable.  If a correct content model is given as the menu item parameter but the file chooser dialogue is still necessary, hilight the specified content model as the default choice in teh content models drop-down on the item ingest form page 1.  Show a drop-down of available content models next to the 'ingest object into this collection' button when displaying a collection.  if content model has variable ""display file chooser"" set to true   display choose file dialogue   if first form has no elements   increment form_state['step']   call form_rebuild ",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-35,ObjectHelper->fedora_repository_access doesn't use $account parameter.,"The function fedora_repsitory_access in the file fedora_repository.module takes $account as its third parameter. This would allow it to check permissions for users other than the currently logged-in Drupal user.  However, it calls ObjectHelper->fedora_repository_access which does not have $account as a parameter and just gets the global $user variable instead.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-36,Create FOXML definitions for initial demo objects,"These demo objects should be able to be ingested into a fresh Fedora install by Islandora in PHP code or a command-line script.  They should include:  Top-Level Collection   - Demo Objects Collection Islandora:collectionCModel Content Model  Other example content models such as image, pdf, etc.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-38,integrate islandora with the biblio module.,integrate islandora with the biblio module.  When a user wants to add a full text document to a biblio node it would be great if there was an option to ingest into fedora.  Chris Moyer from mobot would be interested in something like this.,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-39,allow batch ingest of files using Islandora,In some cases users may want to ingest several files at once.  In some cases these would be one object with multiple streams and in other cases each file may be an object of its own with minimal metadata created for the group of objects.,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-40,Change Djatoka Servlet Filter to check session key instead of password hash.,"Currently the Drupal Servlet Filter checks the username and hashed password against the Drupal database. This change will use the less-sensitive session key, also stored in the Drupal database, instead.   It may be more worthwhile to look at the FeSL components to the servlet filter code that Mark Roy made and see if it's better to do that.",Drupal Servlet Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-41,api class needs to check drupal permissions and catch errors,"The fedora_item.php class does not check to make sure the user ingesting, purging etc. actually has the correct roles etc to do this.  Also the soap call should be wrapped in a try catch so we can give a better error message if something fails.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-43,make itql paging smarter.  ,the current itql query just asks for all the results and then pages through them.  We should only ask for the results we need for that view.  The larger the resultset the more of an issues this will become.,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-44,Add Drupal permission checks to API SOAP calls,"Right now calling the fedora_item class's soap_call function can result in a thrown exception that must be handled by the caller.  This should be changed so that the soap_call function surrounds the actual SOAP request with a try {} catch block, and reports an error using Watchdog and Drupal's standard error reporting, without throwing exceptions back into the Drupal code.  Also, the soap_call procedure should handle checking whether the current user has permissions within Drupal to perform the requested operation, and report an error if they do not.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-45,Add Dublin Core handling to the API,"Create a set of functions to more easily manipulate Dublin Core datastreams of Fedora objects.  - It should be able to read in and write out to XML, but use an associative array data structure internally for easier manipulation by API users.  - The API user should easily be able to add and remove elements from the DC structure.  - It should preserve blank DC fields for the sake of Islandora's metadata edit form generation functionality.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-47,Create standalone tagging / comments module,"Take the tagging code from the image rotator code and put it in its own module.  Then call drupal_get_form from the image rotator if and only if the current user has permission to add tags.  This should also be the place to put comment capabilities, hopefully responding to a drupal hook for viewing a fedora item.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-48,Book module installer requires properly set-up Fedora connection,"The islandora book module needs to add some content model objects and disseminators to the repository in order for it to function properly.  This means that it can't simply be enabled along with the Fedora_Repository module. The Fedora_Repository module must be installed first, and the site administrator must then configure the fedora connection before the Islandora Book module can be enabled.  The installer for the book module should check for a valid Fedora connection and if there isn't one, report an error and abort module installation.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-49,Allow authenticated users to view repo content by default,"Drupal administrator should enable permissions for users to view the fedora menu item and repository content.  ""view"" permissions should be enabled by default for authenticated users in the .install file.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-50,"Replace ""ingest new object"" icon with text",The ingest new object icon is not obvious at all - this should be a text link or a tab at the top of the page. ,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-51,PDF thumbnail generation broken in MAMP,The PDF content model's code to generate thumbnails on ingest does not work on a default Mac OS X MAMP setup that doesn't also have ImageMagick installed.,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-52,Ensure default namespace for file attach is valid,"Attaching a file with fedora attach seems to use a namespace of ""default"" which is not listed in the ""allowed namespaces"" list so default behaviour won't allow the creator to see the item after uploading.  UPDATE: There should be a separate text field in the admin settings form that lets the site administrator specify a specific pid namespace for items uploaded as node attachments.  This value should be automatically added to the list of namespaces users are permitted to see.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-54,Create a generic content model and collection policy,If you create a new collection and don't specify a specific collection policy right now the collection object is created with no way to ingest new objects into it within Islandora.  We should make a new collection policy and content model that will allow any type of file to be added to the collection so people can use Islandora more flexibly.,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-55,Create a SimpleTest suite for Islandora basic functions,"Create Drupal Simpletest test wrappers for basic Islandora repository functions like ingesting objects using various collection policies, adding and removing datastreams, testing roles and privileges to make sure user can't modify objects they don't have rights on, etc.  Progress so far:  Test wrapper sets up user with account pre-existing in fedora-users.xml file, so we can bypass the Drupal Filter. This is necessary because SimpleTest uses database prefixes and the drupalfilter isn't written to handle this case and would try and authenticate against the actual live site.  A new collection object is then created below the top-level collection, and verified that incorrect file types are not accepted.,  Subsequently a valid collection policy is ingested and then a PDF is ingested.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-57,Minor warnings in imagemanip module,Notice: Undefined index: op in fedora_repository_image_manip() (line 36 of /Applications/MAMP/htdocs/f3/sites/all/modules/fedora_repository/plugins/fedora_imageapi.module). Notice: Trying to get property of non-object in imageapi_image_close() (line 401 of /Applications/MAMP/htdocs/f3/sites/all/modules/imageapi/imageapi.module). Notice: Trying to get property of non-object in imageapi_toolkit_invoke() (line 162 of /Applications/MAMP/htdocs/f3/sites/all/modules/imageapi/imageapi.module). Notice: Trying to get property of non-object in imageapi_toolkit_invoke() (line 167 of /Applications/MAMP/htdocs/f3/sites/all/modules/imageapi/imageapi.module). ,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-58,"MimeTypes: Files with extension .tif not being detected as ""image/tiff""","Using the Slide CModel and derived content models, when attempting to upload a TIFF image with extension .tif the process will fail with error ""Error following content model rules"". Mime type detection is broken for this file extension.  Including ""image/tif"" as well as ""image/tiff"" as a workaround isn't working.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-59,Minor warnings when adding a datastream to an existing object.,Go to an object that as a missing datastream and add the datastream. The following notices display after the datstream is added:  Notice: Undefined index: op in fedora_repository_image_manip() (line 36 of /Applications/MAMP/htdocs/f3/sites/all/modules/fedora_repository/plugins/fedora_imageapi.module). Notice: Undefined index: submit in add_stream_form_submit() (line 264 of /Applications/MAMP/htdocs/f3/sites/all/modules/fedora_repository/fedora_repository.module).,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
